TOKEN,NE-COARSE-LIT
grief,O
that,O
we,O
now,O
fend,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/298,666,870,48/full/0/default.jpg",
forward,O
propolitions,O
inadequate,O
to,O
the,O
purpofe,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/299,706,870,46/full/0/default.jpg",
of,O
real,O
and,O
fubftantial,O
Amendments,O
",",O
and,O
fo,O
far,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/298,747,873,48/full/0/default.jpg",
fhort,O
of,O
the,O
wiihes,O
of,O
our,O
country,O
.,O
By,O
perufing,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/299,788,870,49/full/0/default.jpg",
the,O
Journal,B-prod
of,I-prod
the,I-prod
Senate,I-prod
",",O
your,O
Excellency,O
will,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/299,827,868,47/full/0/default.jpg",
fee,O
",",O
that,O
we,O
did,O
",",O
in,O
vain,O
",",O
bring,O
to,O
view,O
the,O
Amend,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/300,868,867,47/full/0/default.jpg",
ments,O
propofed,O
by,O
our,O
Convention,O
",",O
and,O
approv,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/300,909,868,47/full/0/default.jpg",
ed,O
by,O
the,O
Legiflature,O
.,O
We,O
fltall,O
tranfmit,O
a,O
com,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/299,949,871,48/full/0/default.jpg",
plete,O
let,O
of,O
the,O
Journals,O
of,O
both,O
Houfes,O
of,O
Con,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/301,988,853,50/full/0/default.jpg",
grefsto,O
your,O
addrefs,O
",",O
which,O
with,O
a,O
letter,O
accom,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/300,1031,871,47/full/0/default.jpg",
panying,O
them,O
",",O
we,O
entreat,O
your,O
Excellency,O
will,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/301,1070,870,46/full/0/default.jpg",
have,O
the,O
gaodnefs,O
to,O
lay,O
before,O
the,O
Honorable,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/303,1110,630,47/full/0/default.jpg",
Legillature,O
of,O
the,O
enfuing,O
meeting,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/342,1150,828,46/full/0/default.jpg",
We,O
have,O
the,O
honor,O
",",O
of,O
every,O
(,O
entiment,O
of,O
rc,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/301,1191,869,47/full/0/default.jpg",
fpeCt,O
",",O
to,O
be,O
",",O
Sir,O
",",O
your,O
Excellency,O
’,O
s,O
moft,O
obedient,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/301,1231,477,43/full/0/default.jpg",
and,O
very,O
humble,O
fervants,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/657,1274,443,34/full/0/default.jpg",
RICHARD,B-pers
HENRY,I-pers
LEE,I-pers
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/659,1315,422,34/full/0/default.jpg",
WILLIAM,B-pers
GRAYSON,I-pers
.,O
# language = en,
# newspaper = sn83030483,
# date = 1790-02-10,
# document_id = sn83030483-1790-02-10-a-i0002,
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1277,1706,758,38/full/0/default.jpg",
PRESIDENT,B-pers
SULL,I-pers
IVAN,I-pers
’,O
s,O
MESSAGE,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1215,1785,880,51/full/0/default.jpg",
To,O
the,O
Hon,O
.,O
Senate,B-org
and,O
House,B-org
^,I-org
/,I-org
',I-org
Represen,I-org
¬,I-org
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1348,1830,613,46/full/0/default.jpg",
tatives,I-org
",",O
[,O
0,O
/,O
New,B-loc
-,I-loc
Hampshire,I-loc
.,O
],O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1293,1882,245,40/full/0/default.jpg",
Gentlemen,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1215,1922,879,70/full/0/default.jpg",
H,O
HVING,O
been,O
informed,O
",",O
that,O
doubts,O
have,O
a,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1306,1963,785,49/full/0/default.jpg",
rifen,O
iu,O
the,O
minds,O
of,O
fome,O
",",O
whether,O
my,O
hav,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,2001,881,53/full/0/default.jpg",
ing,O
accepted,O
the,O
office,O
of,O
Diftricft,O
Judge,O
has,O
not,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,2041,883,53/full/0/default.jpg",
difqualified,O
me,O
from,O
aefling,O
as,O
Prefident,O
of,O
the,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1211,2084,882,49/full/0/default.jpg",
State,O
",",O
until,O
a,O
new,O
election,O
takes,O
place,O
",",O
I,O
confefs,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1210,2124,883,51/full/0/default.jpg",
that,O
1,O
have,O
never,O
been,O
able,O
to,O
difcover,O
any,O
in,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1210,2165,888,45/full/0/default.jpg",
compatibility,O
in,O
the,O
two,O
offices,O
.,O
But,O
as,O
fome,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1211,2205,885,51/full/0/default.jpg",
have,O
attempted,O
to,O
prove,O
this,O
by,O
urging,O
the,O
words,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,2245,879,51/full/0/default.jpg",
of,O
aConflitution,O
framed,O
for,O
thepurpofe,O
of,O
efta,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,2285,882,52/full/0/default.jpg",
blifhing,O
over,O
the,O
people,O
of,O
New,B-loc
-,I-loc
Humpfhire,I-loc
a,O
free,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,2325,886,52/full/0/default.jpg",
fovereign,O
and,O
independent,O
government,O
—,O
1,O
mull,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,2366,887,54/full/0/default.jpg",
obferve,O
",",O
that,O
this,O
govennent,O
has,O
[,O
nice,O
been,O
changed,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,2405,884,55/full/0/default.jpg",
by,O
the,O
voice,O
of,O
the,O
people,O
",",O
who,O
have,O
agreed,O
that,O
their,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1207,2447,889,54/full/0/default.jpg",
fafety,O
depended,O
on,O
their,O
relinquifhuig,O
many,O
of,O
the,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,2490,883,51/full/0/default.jpg",
powers,O
retained,O
by,O
the,O
people,O
in,O
that,O
Conflitution,O
",",O
to,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1215,2530,884,54/full/0/default.jpg",
a,O
General,O
Government,O
eflabl,O
',O
fbed,O
for,O
the,O
people,O
of,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1215,2570,880,52/full/0/default.jpg",
each,O
and,O
every,O
State,O
who,O
fnould,O
adopt,O
it,O
;,O
which,O
to,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,2610,886,53/full/0/default.jpg",
themwai,O
to,O
become,O
the,O
general,O
law,O
of,O
the,O
land,O
.,O
The,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1209,2651,873,52/full/0/default.jpg",
people,O
of,O
this,O
State,O
did,O
",",O
in,O
the,O
moff,O
folemn,O
manner,O
",",O
a,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1215,2692,881,54/full/0/default.jpg",
dipt,O
arid,O
ratify,O
that,O
Conflitution,O
;,O
and,O
from,O
that,O
e,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,2740,883,45/full/0/default.jpg",
vent,O
",",O
this,O
ceased,O
to,O
be,O
a,O
free,O
",",O
sovereign,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,2779,885,50/full/0/default.jpg",
andindependent,O
state,O
;,O
and,O
upon,O
my,O
being,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,2814,885,52/full/0/default.jpg",
elcdled,O
to,O
the,O
office,O
of,O
Prefident,O
",",O
I,O
was,O
only,O
fworn,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,2854,886,46/full/0/default.jpg",
to,O
perform,O
and,O
fulfil,O
the,O
duties,O
incumbent,O
on,O
me,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1211,2894,885,49/full/0/default.jpg",
as,O
Prefident,O
of,O
a,O
free,O
and,O
confederate,O
State,O
;,O
and,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,2937,882,53/full/0/default.jpg",
I,O
was,O
at,O
or,O
near,O
the,O
fame,O
time,O
fworn,O
to,O
fupport,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1210,2977,887,53/full/0/default.jpg",
the,O
Confti,O
union,O
of,O
the,O
United,B-loc
States,I-loc
",",O
by,O
virtue,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1210,3016,551,47/full/0/default.jpg",
ofalaw,O
enacted,O
by,O
yourfelves,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,3099,881,45/full/0/default.jpg",
I,O
was,O
appointed,O
under,O
that,O
Conflitution,O
which,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,3140,883,51/full/0/default.jpg",
the,O
people,O
of,O
New,B-loc
-,I-loc
Hampffiire,I-loc
had,O
adopted,O
for,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1211,3176,885,58/full/0/default.jpg",
themfelves,O
",",O
a,O
Judge,O
of,O
the,O
Federal,B-org
Court,I-org
.,O
My,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,3220,884,53/full/0/default.jpg",
own,O
inclinations,O
were,O
far,O
from,O
leading,O
me,O
to,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3261,883,53/full/0/default.jpg",
wifh,O
to,O
continue,O
in,O
both,O
offices,O
;,O
but,O
I,O
was,O
put,O
in,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3300,881,54/full/0/default.jpg",
by,O
the,O
people,O
",",O
and,O
could,O
not,O
devife,O
a,O
way,O
of,O
re,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,3340,883,52/full/0/default.jpg",
figning,O
the,O
truft,O
committed,O
to,O
me,O
",",O
but,O
into,O
the,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3382,881,44/full/0/default.jpg",
hands,O
who,O
honoured,O
me,O
with,O
it,O
.,O
I,O
well,O
knew,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3423,882,50/full/0/default.jpg",
that,O
the,O
time,O
for,O
electing,O
a,O
new,O
Prefident,O
was,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3463,882,55/full/0/default.jpg",
near,O
at,O
hand,O
",",O
when,O
the,O
people,O
might,O
have,O
an,O
op,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,3504,883,51/full/0/default.jpg",
portunity,O
of,O
declaring,O
who,O
fhould,O
prefide,O
over,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,3544,881,54/full/0/default.jpg",
them,O
;,O
and,O
all,O
the,O
public,O
papers,O
having,O
been,O
en,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,3584,880,47/full/0/default.jpg",
trufted,O
to,O
my,O
care,O
",",O
and,O
the,O
affairs,O
of,O
the,O
State,O
un,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3625,881,53/full/0/default.jpg",
folded,O
to,O
me,O
",",O
I,O
could,O
not,O
",",O
without,O
an,O
unpardona,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,3666,884,51/full/0/default.jpg",
ble,O
breach,O
of,O
truft,O
",",O
negleifl,O
to,O
lay,O
them,O
before,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,3708,886,45/full/0/default.jpg",
you,O
.,O
I,O
alfo,O
confidered,O
",",O
that,O
while,O
I,O
was,O
living,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,3749,880,52/full/0/default.jpg",
in,O
the,O
State,O
",",O
no,O
other,O
perfon,O
could,O
",",O
by,O
your,O
own,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,3787,881,54/full/0/default.jpg",
laws,O
",",O
adminilter,O
the,O
neceffary,O
oaths,O
to,O
you,O
",",O
to,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3828,882,51/full/0/default.jpg",
qualify,O
you,O
to,O
aeft,O
as,O
Legifiators,O
",",O
while,O
the,O
time,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1215,3869,879,52/full/0/default.jpg",
for,O
which,O
I,O
was,O
chofen,O
was,O
not,O
expired,O
;,O
and,O
as,O
I,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3910,882,50/full/0/default.jpg",
knew,O
that,O
this,O
would,O
probably,O
be,O
the,O
laft,O
feflion,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,3950,882,50/full/0/default.jpg",
of,O
this,O
Court,O
",",O
for,O
the,O
prefent,O
year,O
;,O
and,O
I,O
had,O
no,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1212,3991,885,48/full/0/default.jpg",
inclination,O
to,O
propofe,O
myfelf,O
as,O
a,O
candidate,O
for,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1215,4033,882,53/full/0/default.jpg",
another,O
—,O
I,O
concluded,O
delicacy,O
would,O
have,O
pre,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,4072,883,53/full/0/default.jpg",
vented,O
fome,O
perfons,O
from,O
purfuing,O
the,O
methods,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,4113,879,52/full/0/default.jpg",
they,O
have,O
adopted,O
",",O
for,O
gratifying,O
a,O
fpirit,O
which,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,4154,882,55/full/0/default.jpg",
ought,O
never,O
to,O
lodge,O
itfelf,O
in,O
the,O
branch,O
of,O
a,O
Legifla,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,4201,79,23/full/0/default.jpg",
ture,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1294,4249,249,38/full/0/default.jpg",
Gentlemen,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1255,4288,841,55/full/0/default.jpg",
You,O
will,O
fee,O
the,O
fituation,O
I,O
am,O
in,O
",",O
and,O
may,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,4328,883,54/full/0/default.jpg",
eafily,O
conceive,O
of,O
my,O
feelings,O
upon,O
this,O
fubjeeft,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1216,4362,880,62/full/0/default.jpg",
being,O
brought,O
forward,O
",",O
at,O
every,O
opportunity,O
",",O
to,O
fa,O
’,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1217,4409,886,58/full/0/default.jpg",
tiate,O
that,O
fpirit,O
which,O
has,O
often,O
",",O
before,O
this,O
fejjion,O
of,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,4449,882,55/full/0/default.jpg",
the,O
Court,O
",",O
difplayed,O
itfelf,O
before,O
me,O
",",O
and,O
ufed,O
every,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1214,4490,281,42/full/0/default.jpg",
effort,O
againfl,O
me,O
.,O
